repo,BIC_sha,bug_types
GNOME/glib,26056558be,Null pointer dereference
miniupnp/miniupnp,cce19781e67364d36a9068a42d5275836ee88c89,Overflow
alephsecurity/xnu-qemu-arm64,fb6d1bbd246c7a57ef53d3847ef225cd1349d602,Overflow
alephsecurity/xnu-qemu-arm64,80376c3fc2c38fdd45354e4b0eb45031f35587ed,Overflow
angband/angband,d8518ad36119589cd966e18615881fcec0be1300,Use after free
profanity-im/profanity,b6bb50ceb28250317351fd5115e3f187f0c56fba,Null pointer dereference; Use after free
projectacrn/acrn-hypervisor,977da8f08,Null pointer dereference
eclipse-cyclonedds/cyclonedds,d16264fd82,Memory leak
HerculesWS/Hercules,0eca88efc69becc591428fbb6b9fddd9237afd3d,Double free
OSGeo/grass,bf53e3a3608f7fddcea15190b86d3c232a2518fd,Memory leak
bluez/bluez,caa5835cd805e9771cddef35906a31cce0232dde,Memory leak
samtools/bcftools,12a6617a0b571c1a8b9903a9f75975a232c1257c,Null pointer dereference
GNOME/libxml2,956534e,Overflow
dosemu2/dosemu2,20ba2a7d6,AddressSanitizer report
ovn-org/ovn,cf3b7538666cd1ef,Null pointer dereference
