name,stars,commits
mit-pdos/xv6-riscv,7723,383
ahrm/sioyek,7695,933
antirez/kilo,7652,16
bartobri/no-more-secrets,7590,240
skeeto/endlessh,7576,94
shellphish/how2heap,7572,333
telekom-security/tpotce,7567,1943
Ralim/IronOS,7546,2474
immortalwrt/immortalwrt,7527,43294
wasm3/wasm3,7485,1597
antirez/smallchat,7436,27
veracrypt/VeraCrypt,7389,2499
winfsp/winfsp,7389,2965
esnet/iperf,7326,1195
microsoft/Windows-driver-samples,7183,709
jerryscript-project/jerryscript,7161,3924
liuliu/ccv,7114,3041
NVIDIA/cuda-samples,7113,281
jart/blink,7106,605
Kitware/CMake,7090,61690
haad/proxychains,7041,84
phoboslab/qoi,7040,209
OpenIntelWireless/itlwm,7027,787
ithewei/libhv,7026,815
CTCaer/hekate,6999,1673
flightlessmango/MangoHud,6958,2057
orangeduck/Cello,6925,245
libimobiledevice/libimobiledevice,6915,1775
hrvach/deskhop,6899,36
koekeishiya/skhd,6893,224
greatscottgadgets/hackrf,6890,2367
htop-dev/htop,6874,2549
SanderMertens/flecs,6824,4887
fontforge/fontforge,6820,5694
henrypp/memreduct,6792,215
henrypp/simplewall,6768,660
philipl/pifs,6758,20
universal-ctags/ctags,6728,10192
fluent/fluent-bit,6654,10768
pwn20wndstuff/Undecimus,6649,747
hfiref0x/UACME,6640,276
OpenMathLib/OpenBLAS,6639,5763
TelegramMessenger/Telegram-iOS,6637,8153
beanstalkd/beanstalkd,6597,489
fulldecent/system-bus-radio,6582,125
libfuse/sshfs,6542,373
sqlcipher/sqlcipher,6512,811
yanfeizhang/coder-kung-fu,6487,27
ntop/n2n,6483,1037
s-macke/VoxelSpace,6483,66
machyve/xhyve,6449,85
googlecreativelab/anypixel,6438,36
merbanan/rtl_433,6436,2627
nodejs/http-parser,6380,358
yarrick/iodine,6370,735
redis/hiredis,6354,831
peng-zhihui/HoloCubic,6288,2
maharmstone/btrfs,6286,5027
klange/toaruos,6282,5825
