name,stars,commits
itm4n/PrintSpoofer,1952,18
asdcorp/ohook,1951,6
alexdobin/STAR,1951,1051
Novum/vkQuake,1951,1661
FelixKratz/JankyBorders,1947,178
gen2brain/raylib-go,1945,884
twitter/pelikan,1945,330
bcrypt-ruby/bcrypt-ruby,1944,242
liballeg/allegro5,1944,3121
keendreams/keen,1936,8
johnfanv2/LenovoLegionLinux,1935,445
djpohly/dwl,1934,931
ZerBea/hcxdumptool,1934,1508
leixiaohua1020/simplest_ffmpeg_mobile,1933,27
c-ares/c-ares,1932,2602
ScanNet/ScanNet,1932,131
hzqst/VmwareHardenedLoader,1930,70
topotam/PetitPotam,1928,49
google/rune,1928,157
AstraThreshold/oled-ui-astra,1926,101
phra/PEzor,1925,108
Lora-net/LoRaMac-node,1920,982
zetaloop/ExplorerPatcher,1919,818
ArtifexSoftware/mupdf,1918,11072
free-audio/clap,1917,1588
SoftEtherVPN/SoftEtherVPN_Stable,1915,139
BitMaker-hub/NerdMiner_v2,1913,293
h2o/picohttpparser,1911,137
jiangwenyuan/nuster,1909,6531
lattera/glibc,1906,3957
cossacklabs/themis,1905,1099
alibaba/GCanvas,1902,432
PipeWire/pipewire,1900,12965
B-Con/crypto-algorithms,1899,6
kfix/ddcctl,1899,83
raspberrypi/tools,1894,59
varnish/hitch,1893,756
fortra/nanodump,1892,223
chobits/ngx_http_proxy_connect_module,1891,164
luigirizzo/netmap,1889,4006
jarikomppa/soloud,1889,1042
ChenLittlePing/LearningVideo,1886,44
ambrop72/badvpn,1884,186
JKornev/hidden,1883,126
orangeduck/Corange,1881,304
luke-jr/bfgminer,1881,12079
julius-speech/julius,1876,260
xiph/flac,1875,1619
iOS-Swift-Developers/Swift,1874,3
endrazine/wcc,1873,81
tyilo/insert_dylib,1871,22
notro/fbtft,1871,271
arkdb/inception,1870,15
msysgit/msysgit,1870,1033
elfmz/far2l,1869,4208
cs50/libcs50,1869,174
guanshuicheng/invoice,1868,65
begeekmyfriend/bplustree,1867,120
pmwkaa/sophia,1866,634
rui314/9cc,1860,267
sustrik/libdill,1859,1243
