repo,BFC_sha,BIC_sha
ravynsoft/ravynos,e6603b7c1fc7ac01f8891b11df34d943812153e9,b39c22b
ravynsoft/ravynos,b858767a31bc80cc9a65d1e7af70213916bfa34a,1715493
mozilla/mozjpeg,837e471a90e79b37cb4f7ef9950321f48c7c5f41,300a344d653d4a8779706e42828d945c6a53ff9d
mozilla/mozjpeg,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,479501b07c0afd8912a0e0f5b4740cfce9a89a4c
mozilla/mozjpeg,c743009717878cb22a5434c798dae5d3879d6ca2,a09ba29a55b9a43d346421210d94370065eeaf53
mozilla/mozjpeg,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,dfefba77520ded5c5fd4864e76352a5f3eb23e74
mozilla/mozjpeg,dfefba77520ded5c5fd4864e76352a5f3eb23e74,a09ba29a55b9a43d346421210d94370065eeaf53
axboe/fio,323876fbe897cf5748d94826380d7d907ebbee17,8c43ba62
axboe/fio,d33db728d79386d544be93c24f4e3383f2a47143,8c43ba62
haproxy/haproxy,c16eba8183a0f362cd7d72beba3080ecf5449c87,64c9c8e
haproxy/haproxy,9d4a44e7137fba2c7ca2823174ba1168290a1c3b,2462e5bcc
haproxy/haproxy,efc5a9d55ba46a934f1474802b90c679461ebc92,c55015e
haproxy/haproxy,f4f14eacd37e9de47bf9ecfbbd04a68baf6617ee,85888573
haproxy/haproxy,858885737c1d2672d5b1ba80a58c0bb585a0b981,b90d2cb
haproxy/haproxy,541a534c9f64c505380b936ff15ce91a8179dfa0,44b3532
haproxy/haproxy,d913800a7d680fdd7e7864463d5fa936b9d58fa8,0b3e849
mruby/mruby,b47c8b738ae3e400ec02269fae9857222218e9d5,375d22b
tianocore/edk2,04dd0cb972cd35f4bf59f5692096a65b840156d5,7a0df26
tianocore/edk2,ade71c52a49d659b20c0b433fb11ddb4f4f543c4,684db6da64bc7b5faee4e1174e801c245f563b5c
tianocore/edk2,1c4cecc9fd314de0dce8125b0d4b45967637a401,2ec7953d49677142c5f7552e9e3d96fb406ba0c4
tianocore/edk2,5e45a1fdcfbf9b2b389122eb97475148594625f8,041d89bc0f0119df37a5fce1d0f16495ff905089
tianocore/edk2,61a62fc2587ae4d01718124f28e1ea0e60375902,bb685071c2602cf786ea84c69bbebf2158194a38
tianocore/edk2,e037e88cd81d4ac63dd627719c87c305bf0b439e,0c9f2cb10b7ddec56a3440e77219fd3ab1725e5c
tianocore/edk2,c882bdc6712314f255c92d7c951eaf9760a9de38,0a28d02d9fb5293757c507e592a4d0404a7ecf74
tianocore/edk2,0c687d02c76592832de73850e1dc81115311318a,cd64301398876d0b3700f882b3eea12657510a70
gluster/glusterfs,63ad603542044e473118d33bcc02f121c86beaa7,2ca6441
RfidResearchGroup/proxmark3,89cbe3c7df34f7a98828c56d2f6d1dea2a1d5d07,8543db11b59f34ca120a1e6eea7f5b43adee8dac
libjpeg-turbo/libjpeg-turbo,837e471a90e79b37cb4f7ef9950321f48c7c5f41,300a344d653d4a8779706e42828d945c6a53ff9d
libjpeg-turbo/libjpeg-turbo,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,479501b07c0afd8912a0e0f5b4740cfce9a89a4c
libjpeg-turbo/libjpeg-turbo,c743009717878cb22a5434c798dae5d3879d6ca2,a09ba29a55b9a43d346421210d94370065eeaf53
libjpeg-turbo/libjpeg-turbo,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,dfefba77520ded5c5fd4864e76352a5f3eb23e74
libjpeg-turbo/libjpeg-turbo,dfefba77520ded5c5fd4864e76352a5f3eb23e74,a09ba29a55b9a43d346421210d94370065eeaf53
varnishcache/varnish-cache,3730f544db89ab487c0e0e775969edf9c12f63b6,eabe58bc6633012dd01ba8f2a131f4e8cd351b2e
varnishcache/varnish-cache,05356fb7c6c10d3ddd9766f474da679046922422,c1352b0b0ece8028317c838751d9042a55347cd5
varnishcache/varnish-cache,46a6a3af681644f43e2e813ee68f8bd53b4cd1bb,340abd0456e4
